id,height,weight,position,firstseason,lastseason,games,pts,reb,ast,stl,fga,fgm,fta,ftm
PAXSOJI02,198,91,G,1956,1957,138,1105,616,225,0,1124,363,521,379
PAXSOJO01,188,84,G,1983,1993,772,5560,906,2758,517,4812,2403,598,481
PAYAKJO01,193,79,G,1949,1952,120,753,114,226,0,704,226,421,301
PAYNEKE01,203,88,F,1989,1992,144,508,170,61,38,532,218,64,55
PAYNETO01,218,109,C,1971,1971,29,119,69,15,0,103,45,46,29
PAYTOGA01,193,82,G,1990,2006,1335,21813,5269,8964,2445,18698,8708,4480,3265
PAYTOME01,193,84,G,1951,1952,111,595,396,126,0,625,227,189,141
PEARCGE01,185,75,G,1946,1946,37,94,0,13,0,130,31,44,32
PEARCHE01,185,77,G,1946,1946,29,73,0,7,0,108,24,34,25
PECKWI01,201,100,G,1979,1979,52,180,183,33,17,169,73,55,34
PEELEAN01,193,94,G,1992,2004,827,8017,2136,1956,775,7255,3101,1095,875
PELKIJA01,198,100,C,1948,1948,54,597,0,131,0,469,193,267,211
PELLOSA01,206,102,F,1979,1982,196,863,685,95,91,755,350,225,163
PENBEMI01,190,84,G,2000,2001,56,272,65,73,24,224,93,35,31
PENIGDE01,201,111,F,2003,2003,10,32,24,3,2,28,14,4,4
PENNEKI01,196,100,G,2003,2004,6,5,2,2,1,9,2,0,0
PEPLOMI01,208,122,C,1993,1995,68,194,176,26,19,151,84,49,26
PERDUWI01,213,109,C,1988,2000,792,3740,3912,595,226,2943,1517,1222,705
PERKISA01,206,107,F,1984,2000,1286,15324,7661,1975,1105,11984,5498,4292,3479
PERKIWA01,190,86,G,1949,1950,126,767,319,257,0,850,263,390,241
PerovKo01,218,109,C,2007,2007,7,10,13,1,0,10,3,6,4
PERRYCU01,201,100,F,1970,1977,480,4578,4239,906,379,4188,1904,1101,770
PERRYEL01,183,68,G,1991,2001,549,3449,741,1705,572,2944,1353,773,605
PERRYTI01,206,91,F,1988,1995,481,3283,1911,436,221,2710,1313,872,565
PERSOCH01,203,100,F,1986,1999,943,13858,4763,2645,683,12176,5576,2056,1486
PERSOWE01,198,88,G,1994,2004,733,8192,2402,1234,579,6843,3128,1010,786
PETERBO01,196,95,F,1953,1955,103,479,389,78,0,482,186,160,107
PETERED01,206,100,C,1949,1950,115,804,288,99,0,774,297,335,210
PETERJI01,208,107,F,1984,1991,491,3397,2354,487,213,2821,1371,901,653
PETERLO01,196,93,G,1968,1969,69,199,67,48,0,199,77,66,45
PETERME01,193,84,G,1963,1969,2,2,1,0,0,1,1,0,0
PETRIGE01,193,86,G,1970,1975,446,9732,1271,2057,247,8719,3970,2225,1792
PETRODR01,196,88,G,1989,1992,290,4461,669,701,265,3369,1705,946,796
PETRURI01,208,118,C,1993,1993,22,53,31,1,2,46,20,8,6
PETTIBO01,206,93,F,1954,1964,792,20880,12849,2369,0,16872,7349,8119,6182
PHEGLRO01,198,93,G,1978,1983,345,3011,702,486,171,2585,1216,668,557
PHELAJA01,196,88,F,1949,1949,55,226,0,57,0,268,87,90,52
PHELAJI01,185,79,G,1953,1953,4,3,5,2,0,6,0,6,3
PHELPDE01,193,82,F,1994,1994,3,0,0,1,0,1,0,2,0
PHELPMI01,193,82,G,1985,1987,132,470,141,138,71,469,195,122,78
PHILLAN01,188,88,G,1947,1957,701,6384,2395,3759,0,6318,2323,2499,1738
PHILLBO01,196,95,G,1991,1999,467,5153,1469,1246,592,4416,1957,1215,897
PHILLED01,201,102,F,1982,1982,48,152,77,29,14,138,56,59,40
PHILLGA01,190,86,G,1961,1965,348,2319,903,665,0,2500,926,742,467
PIATKER01,201,98,G,1994,2007,789,5919,1716,778,404,4711,2044,1152,966
PIERCRI01,193,93,G,1982,1997,969,14467,2296,1825,768,10924,5391,3871,3389
